"GREAT CHESTERFORD MILLS",,,,,,,,,,,,
Grid ref,TL504427,Long,0.192503,Lat,52.062265,,,,,,,
Station no,1331,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,0.76,0.86,,
February,,,,,,,,,0.90,0.47,,
March,,,,,,,,,2.25,2.92,,
April,,,,,,,,,3.39,1.58,,
May,,,,,,,,,0.68,1.13,,
June,,,,,,,,,1.79,4.06,,
July,,,,,,,,,2.57,3.04,,
August,,,,,,,,,2.52,1.99,,
September,,,,,,,,,1.56,1.86,,
October,,,,,,,,,1.25,3.73,,
November,,,,,,,,,0.84,0.71,,
December,,,,,,,,,1.54,2.95,,
Total,,,,,,,,,20.05,25.30,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.05,25.30,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
