"PORLOCK",,,,,,,,,,,,
Grid ref,SS893467,Long,-3.586106,Lat,51.208744,,,,,,,
Station no,2103,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.31,5.04,0.92,2.27,4.44,5.36,4.08,4.02,,,,
February,6.43,1.60,2.11,4.39,3.31,0.28,6.63,5.61,,,,
March,5.84,2.87,1.65,5.06,1.18,1.45,2.88,0.97,,,,
April,4.71,3.61,3.57,0.36,1.30,1.51,0.00,0.98,,,,
May,3.21,3.10,1.55,2.58,6.04,0.66,2.07,4.56,,,,
June,0.74,2.30,2.04,3.08,2.39,1.68,1.22,2.41,,,,
July,1.58,2.10,3.12,2.82,3.07,3.13,3.96,2.56,,,,
August,3.82,7.27,3.71,2.90,0.00,3.85,3.18,4.15,,,,
September,3.10,4.16,5.22,4.65,1.50,5.40,4.79,6.17,,,,
October,3.43,5.16,3.26,4.53,2.40,2.74,3.92,3.37,,,,
November,8.48,5.18,3.08,9.74,4.19,1.16,3.48,2.08,,,,
December,5.46,3.55,1.22,4.66,6.59,5.45,2.86,4.98,,,,
Total,52.11,45.94,31.45,47.04,36.41,32.67,39.07,41.86,,,,
Calc annual,52.11,45.94,31.45,47.04,36.41,32.67,39.07,41.86,0.00,0.00,,
Difference,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
