STOKE-GABRIEL-MAZONET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX844572,Long,-3.62671,Lat,50.40334,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,8.89,8.17,5.49,9.41,3.42,9.68,4.46,6.96,3.76,5.17,0.61,9.46,10.18,6.71,9.07,3.42,7.02,6.61,11.54,4.33,3.84,,,,,
February,,,,,,6.78,3.89,4.21,4.59,3.83,2.41,3.36,0.04,6.31,0.22,5.61,6.44,10.12,1.92,3.2,6.78,6.27,0.21,2.71,0.5,4.21,,,,,
March,,,,,,0.54,1.12,4.87,5.02,0.41,3.31,3.59,3.75,5.19,6.04,1.89,6.27,8.11,0.09,1.76,4.07,4.54,4.28,1.7,0.22,1.47,,,,,
April,,,,,,3.5,2.74,3.02,3.68,0.67,3.7,4.09,4.71,2.28,5.1,4.83,3.95,4.45,0.14,2.98,4.63,1.43,3.61,1.55,2.98,0.89,,,,,
May,,,,,,4.78,1.6,0.38,1.42,3.49,2.98,3.09,4.28,2.07,1.79,2.97,1.33,3.74,3.5,0.85,1.66,2.88,7.83,5.13,0.44,3.75,,,,,
June,,,,,,0,3.99,2.8,2.49,3.41,0.29,4.39,4.56,2.32,2.06,6.08,0.49,1.75,1.36,5.01,0.79,3.65,0.39,1.78,3.38,4.1,,,,,
July,,,,,,3.88,0.71,3.47,2.42,1.7,2.75,5.38,2.2,2.76,1.27,0.32,6.32,1.67,4.6,8.46,3.54,1.71,2.27,3.96,4.12,,,,,,
August,,,,,,3.41,1.4,4.98,2.51,2.9,5.52,4.99,1.66,1.23,3.74,3.09,0.41,1.44,8.88,2.58,0.04,5.18,5.31,4.25,3.5,,,,,,
September,,,,,,4.32,0.7,5.99,2.48,0.32,4.91,1.57,6.41,3.97,4.11,5.96,3.63,2.77,1.97,1.08,2.01,0.84,3.45,4.74,1.72,,,,,,
October,,,,,,5.57,3.49,4.08,7.26,6.31,4.02,0.83,9.43,3.08,3.82,4.38,1.64,4.98,5.41,7.49,5.93,1.88,6.79,5.03,6.81,,,,,,
November,,,,,,4.61,10.98,5.16,7,17.89,9.02,10.1,3.88,2.17,2.72,8.53,5.91,3.74,9.45,11.7,12.25,4.19,1.22,2.82,10.35,,,,,,
December,,,,,,7.74,0.65,6.86,6.18,12.69,5.84,2.6,4.69,2.77,15.04,5.89,5.34,5.89,5.77,2.23,5.3,5.24,7.58,4.46,4.36,,,,,,
Total,,,,,,54.02,39.44,51.31,54.46,57.04,54.43,48.45,52.57,37.91,51.08,50.16,51.19,58.84,49.8,56.41,50.42,44.83,49.55,49.67,42.71,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spelling changed from Maisonette to Mazonet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan 24th estimated for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Note says: About 3in high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 - annual total edited to match monthly totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt on sheets is 100ft but it is not deemed to be accurate and is very low for area around glass house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,