ULLSCARF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY298123,Long,-3.085507,Lat,54.50114,Elevation,2100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,
January,,,,,,,,,13.3,2.8,5.3,1.5,11.4,19.4,20.5,9.7,10,9,5.8,8.4,17.9,8.9,7.3,6.6,15,2,10.2,3.1,14.2,29.5,13,7,9,20.4,16.8,9.4,16.4,5,14.6,13.5,11,7,12.1,15,15,14,23,3,7.2,10.5,16.5,26.5,10,10.7,9.1,13,18.5,12.8,26.9,8.1,20.9,9.2,27.9,15.21,24.1,7.2,13.57,17.55,18.39,16.6,2.02,4.58,9.62,21.98,23.38,8.62,17.69,12.11,19.96,11.32,10.38,12.3,8.84,5.61,8.82,12.21,7.77,21.8,11.94,6.74,16.59,,,,,,,,,
February,,,,,,,,,8.9,7.7,14.6,8.3,15.4,15.5,12.4,22,4.6,8,1.7,4.1,1.5,1.8,3.5,15,22.1,0.7,9.6,14,9,10.2,9,3.3,6,23.5,10.1,7,6.5,6.7,7.4,9.5,18,20.7,10.1,4.7,20.4,20,11.7,1.5,14,2.5,17.3,1.7,13.6,15.5,1.8,10,16,9.9,14.1,3.1,0.5,10.5,0.33,10.24,1.37,25.01,5,10.84,7.62,17.07,4.2,11.38,4.29,11.56,6.17,15.78,8.15,2.5,11.28,10.46,13.18,12.9,2.98,4.49,7.46,3.74,2.12,11.47,11.56,3.57,14.97,,,,,,,,,
March,,,,,,,,4.5,5.9,10.7,4.7,10,11.6,5.2,10.3,7.5,10.7,3,6.9,5.7,8.1,5.7,2.7,5.1,7.3,9.4,14.7,11.8,5.3,7.4,0.9,6,7.7,21,8.8,9.5,7.9,9.9,10,6.2,6,4.8,16,12.8,16.2,5,1.8,4.2,5.1,8.5,12.9,18.3,6.6,4.8,2.4,2.9,8.6,12.1,11.3,2.2,8.5,2.3,7.23,5.62,8.6,3.34,10.13,7.2,9.68,9.04,11.71,6.21,10.66,4.43,1.6,7.35,6.65,10,12.32,2.99,7.15,10.02,7.15,1.07,7.85,3.47,4.97,10.56,2.4,10.27,3.36,,,,,,,,,
April,,,,,,,,4.9,4.5,4.3,8.9,2.9,8.9,3.9,3.1,8.1,5.8,5.1,5,4.1,3.4,5.3,1.8,1.2,4.7,7.1,5,5.9,8.6,10,6.5,6.9,5.7,3.3,13,11.6,2.3,5,3.6,6.7,7.4,10.6,4,12.4,5.3,7,8.2,3,1.8,4.7,11.7,2.4,3.6,5.8,4.2,14,7.9,7.7,3.7,3.9,5,4.1,12.35,2.96,6.73,9.16,2.52,7.38,2.08,5.47,4.75,3.57,8.09,6.8,6.88,5.71,3.72,15.77,6.88,13.34,8.52,8.7,5.28,5.42,2.47,6.38,2.48,2.93,4.16,10.95,9.44,,,,,,,,,
May,,,,,,,,9.6,10.3,3,5.5,10.3,7.4,6.1,11.5,5,6.9,3,7.4,6.7,7,3.7,10.4,5.3,8.2,0.7,0.7,5.6,6.5,7.7,8.1,3.1,5.1,7,6.6,5,11.3,10.1,7,5.3,4.7,6.6,4.8,5.6,5.8,2.1,6.2,4.3,3.3,3.6,16.3,6.7,5.9,6.5,7.1,13,6.1,5.8,1.6,8.5,5.6,7.8,7.12,4.07,10.27,0.96,1.89,4.39,9.76,2.15,2.61,6.61,10.26,7.7,5.38,9.42,1.58,6.02,5.43,5.12,4.31,3.84,5.18,3.8,7.77,11.7,6.72,6.16,11.08,2.04,5.01,,,,,,,,,
June,,,,,,,,10.2,5.5,14.4,7.8,14.7,10.6,6.9,1.2,4.2,4.4,1.1,3.5,0.9,10.9,3.5,7.6,5.6,6,2.6,7.8,7.1,8.6,3,8.3,6.2,3,4.5,6.5,6.7,3.4,15.2,6.6,5.1,3.4,10.2,10.7,11,2.5,3,6.3,4.4,4.1,6.6,4.1,1,5.2,5.1,5.6,0.7,7.8,9,16,5.9,5,11.8,6.94,4.17,5.22,10.79,7.07,6.21,15.95,8.69,1.6,1.08,2.24,8.51,11.04,10.63,11.82,8.24,15.27,2.56,5.61,3.16,4.67,5.09,10.71,7.37,6.36,3.43,6.85,6.36,7.87,,,,,,,,,
July,,,,,,,,14.2,2.1,14.4,10.1,11.6,19.3,6.6,9.3,7,11.4,7.5,13.1,6.3,11.5,6.4,8.8,9.5,8.4,10.7,9.8,6.1,3.7,7.2,6.2,2,6.4,8.4,5.8,3.7,6.7,4.2,8.1,13.7,9.9,3.3,10.2,1.5,8.2,8.6,6.4,2.2,8.3,3,11.2,6.3,11.6,8.2,9.6,2.2,10.7,14.2,8.9,13.5,8.5,12.5,11.79,10.14,4.32,7.3,15.03,7.12,17.61,13.92,10.42,2.86,9.99,8.76,5.64,8.83,10.73,7.66,8.87,3.5,9.09,6.98,6.04,13.86,11.81,5.26,10.61,10.56,7.37,11.79,11.39,,,,,,,,,
August,,,,,,,,13.1,9.9,13,3.8,12.8,8.5,11.4,2.9,8,7.2,5,11.6,11.8,10.6,23,16.8,12.5,11.2,13.4,7.1,20.9,16.7,4,10.9,10.1,6.4,18.9,11.2,9.3,12.1,11.3,14.5,7.2,21.3,8.5,13.1,5.8,11,4.5,5.9,15.2,10.6,9.6,7.3,13.3,9.7,19.7,8.5,11.2,12,13.6,19,17.1,17.3,6.8,1.81,6.64,14.8,7.39,7.51,6.57,8.14,4.27,7.19,15.76,15.52,21.17,8.95,3.44,13.58,0.1,14.1,7.26,15.94,12.7,12.03,10.79,12.32,5.26,15.5,12.79,10.77,2.62,6.4,,,,,,,,,
September,,,,,,,,8.4,14.1,15,10.1,5.6,7,13.6,13.1,17.8,20.4,12.2,3.6,6,14.3,17.3,22.3,10.8,0.6,5.1,15.4,14.2,8.2,13.5,11,10.4,7.4,11.3,7.2,8.5,4.3,2.3,14.3,6.8,1.3,9,7.1,5,6.8,2.5,5.6,6.3,22.1,13.9,5.7,4.6,8.2,13.7,15.6,8.9,11.9,16,8.4,5.2,9.4,4.3,13.48,2.06,16.87,21.73,15.72,11.5,7.66,3.79,10.46,3.49,16.62,14.41,13.45,12.25,21.22,12.92,17.1,4.65,24.63,16.56,10.59,17.68,24.94,10.01,9.56,13.71,15.33,1.99,8.11,,,,,,,,,
October,,,,,,,,22.1,17.1,6.1,2.9,6.8,9.8,15.2,7.5,11.6,11,5.4,14,14.7,8.4,15.8,11.3,16.4,13.3,10.2,10.3,8.7,11.5,13.3,15.3,12,11,35,8.8,10.2,17.5,16,5.7,23.3,8.3,14.2,15,8.4,2.6,4.1,28.2,14.4,25.4,3.3,4.9,6.6,3.5,23.3,10.2,16.5,10,16,24.7,17.8,25.6,9.4,16.51,8.86,20.43,24.97,15.73,6.54,25.91,5.75,10.9,13.96,17.99,16.91,12.69,16.61,1.32,4.15,13.83,14.49,11.93,2.1,9.93,5.96,33.65,9.01,10.94,17.49,13.88,19.28,7.37,,,,,,,,,
November,,,,,,,,28.9,3.2,2.8,20.1,20.8,16.7,17.4,6.9,8.6,12,8.8,23,6.4,19.5,10.2,14.4,11.2,19.2,15.5,4,17.3,17.3,18.1,10.6,14.1,10.5,9.3,11,12,12.3,8.9,12,6.7,7.9,23.2,11.5,16.5,20,5,16.8,4.5,11.8,8.6,12.5,5,5.2,12.2,9.4,3,18.7,14.7,22.4,27.4,16,21.8,10.56,4.75,4.9,10.43,13.59,2.51,17.97,19.72,11.67,10.24,3.89,7.92,19.79,1.48,22.93,26.24,11.04,20.88,11.17,22.42,7,19.52,27.36,7,4.88,5.49,3.45,16.36,23.82,,,,,,,,,
December,,,,,,,,14.6,4.9,11.3,9.2,10.6,10.6,10.7,16.8,6.6,10.5,8.5,16.5,10.8,0.4,23.8,3.5,18.2,14.4,9.7,13.5,22,22,6.5,23,10,14,11.7,14.1,7.4,6.5,15,10,15.1,16.3,24.2,24.5,14,21.3,18.5,7.1,2.4,16,17.7,10.6,23,13.8,8.5,14.6,13.7,3.9,4.3,10.1,26.8,9.5,10.3,26.19,1.76,20.62,7.93,21.23,6.78,9.9,7.78,13.77,13.04,18.83,5.7,15.3,9.82,15.06,6.6,14.07,17.84,5.38,22.6,6.89,6.92,19.58,20.15,16.94,13.34,8.82,22.04,13.54,,,,,,,,,
Total,,,,,,,,,99.7,105.5,103,115.9,137.2,131.9,115.5,116.1,114.9,76.6,112.1,85.9,113.5,125.4,110.4,117.4,130.4,87.1,108.1,136.7,131.6,130.4,122.8,91.1,92.2,174.3,119.9,100.3,107.2,109.6,113.8,119.1,115.5,142.3,139.1,112.7,135.1,94.3,127.2,65.4,129.7,92.5,131,115.4,96.9,134,98.1,109.1,132.1,136.1,167.1,139.5,131.8,110.8,142.21,76.48,138.23,136.21,128.99,94.59,150.67,114.25,91.3,92.78,128,135.85,130.27,109.94,134.45,112.31,150.15,114.41,127.29,134.28,86.58,100.21,174.74,101.56,98.85,129.73,107.61,114.01,127.87,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920s page 43 duplicated data to page 42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR May 1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR Aug 1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,