STRATFORD-ON-AVON VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,,Long,,Lat,,Elevation,,ft,,,,,,,,,,,,
Station no,RR2109,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,6,6.13,4.57,4.83,2.66,3.18,5.25,6.69,4.12,3.42,4.32,2.35,3.7,1.66,2.44
February,,,,,,3.56,4.77,3.51,3.43,4.29,1.82,2.6,2.79,1.45,2.44,1.37,4.58,1.42,1.28,2.34
March,,,,,,4.01,2.72,2.14,5.4,1.79,1.27,3.32,3.69,2.38,3.39,2,5.5,1.67,0.82,0.73
April,,,,,,1.69,1.54,4.4,2.14,2.55,2.18,4.82,4.1,0.9,2.63,0.83,2.62,2.23,2.49,2.87
May,,,,,,2.75,1.28,2.74,2.34,2.82,2.95,1.39,3.26,3.68,1.89,2.49,0.88,2.87,5.67,2.66
June,,,,,,0.52,1.54,1.24,1.05,2.5,2.55,1.96,4.77,1.62,1.64,3.47,2.7,0.65,2.54,5.01
July,,,,,,2.27,2.97,8.07,0.72,2.48,2.14,6.17,2.39,4.6,4.01,2.22,2.93,3.57,0.91,2.65
August,,,,,,5.41,4.75,2.83,4.79,2.27,2.28,2.61,4.77,5.9,4.48,3.92,4.82,3.33,4.75,6.34
September,,,,,,0.48,5.21,1.65,1.64,5.54,4.7,3.33,9.28,4.59,4.84,4.98,5.28,2.35,2.89,3.47
October,,,,,,3.77,2.13,7.63,3.84,3.76,9.98,3.23,5.3,7.3,5.86,5.42,6.19,1.39,2.77,1.18
November,,,,,,3.91,5.5,1.43,4.07,8.14,3.25,3.63,6.68,2.68,4.95,7.06,3.05,2.77,2.92,
December,,,,,,2.04,6.06,2.95,4.08,6.55,3.55,2.83,3.8,2.99,4.86,3.02,5.89,1.48,1.86,
Total,,,,,,36.41,44.6,43.16,38.33,45.35,39.85,41.14,57.52,42.21,44.41,41.1,46.79,27.43,30.56,
,,,,,,,,,,,,,,,,,,,,
"NOTE: THESE DATA ARE DUPLICATES OF TWO SHEETS FROM LONDONDERRY, NORTHERN IRELAND. IT APPEARS AS THOUGH THE LONDONDERRY LOCATION IS CORRECT. ",,,,,,,,,,,,,,,,,,,,
THE NOMINAL NGR IS SP200547 BUT THIS IS NOT INCLUDED DUE TO THE LOCATION UNCERTAINTY.,,,,,,,,,,,,,,,,,,,,
1869 total miscalculated on record,,,,,,,,,,,,,,,,,,,,
"1879 Nov 9 gauge moved to Rother St therefore removed Nov,Dec and total",,,,,,,,,,,,,,,,,,,,