TALYBONT-CUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO107226,Long,-3.2991449,Lat,51.894769,Elevation,490,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,5.2,1.15,3.01,0.96,9.65,4.8,4,,,-999,-999,-999,,-999,,-999,-999,-999,-999,4,6.1,-999,1.65,,
February,,,,,,0.1,1.05,3.03,2.85,6.8,7.6,-999,,,-999,-999,-999,,-999,,-999,-999,-999,-999,9.8,11.1,-999,1.2,,
March,,,,,,4.35,5.2,7.6,-999,2.49,1.5,-999,-999,,-999,-999,-999,,-999,,-999,-999,-999,-999,-999,-999,-999,-999,,
April,,,,,,3.3,0.65,4.5,-999,4.6,2,5.4,,,-999,-999,-999,,-999,,-999,-999,-999,10,-999,-999,-999,-999,,
May,,,,,,0.5,0.2,-999,4.2,2.7,,1.25,,,-999,-999,-999,,-999,,-999,-999,-999,-999,-999,-999,3.6,4.1,,
June,,,,,,1.45,2.55,-999,-999,-999,,-999,,,-999,-999,-999,,-999,,-999,-999,-999,-999,-999,-999,-999,5.5,,
July,,,,,,4.9,2,-999,-999,-999,2,-999,,,-999,-999,-999,,-999,,-999,-999,-999,-999,-999,-999,-999,5.4,,
August,,,,,,3.3,2.25,-999,-999,-999,4.5,-999,-999,,-999,-999,-999,,-999,,-999,-999,-999,-999,-999,-999,-999,5.9,,
September,,,,,,1.45,8.7,4.17,-999,3.55,1.8,-999,,,-999,-999,-999,,-999,,-999,-999,-999,-999,-999,-999,-999,2.6,,
October,,,,,,4.3,6.2,2.8,7.52,3.3,-999,-999,,,-999,-999,-999,,-999,,-999,-999,-999,8.4,3.6,-999,10.4,2.7,,
November,,,,,,10.98,1.2,4.08,2.73,5.3,-999,-999,5,2.53,-999,-999,-999,3.7,-999,,-999,-999,-999,7.9,7.7,-999,-999,-999,,
December,,,,,3.8,5.7,8.7,11.6,7.21,4.1,10.3,-999,4.4,5.4,-999,,-999,7.9,-999,,-999,13.6,8.7,2.9,14.7,13.3,-999,-999,,
Total,,,,,,45.53,39.85,53.68,38.74,45.91,,40.6,35.38,,42.45,39.5,43.85,,41.3,46.4,59.35,,59.4,60.1,62.35,54.65,50.35,39.55,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Cui near Talybont. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The majority of the readings in this reacord are combined readings covering 2 to 4 months. There are too many to list here; refer to original record if details are required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,